userId	geneSymbol	geneName	entrezgene	score	gLink
AcCoAS	AcCoAS	Acetyl Coenzyme A synthase	40348	-0.453026696502062	https://www.ncbi.nlm.nih.gov/gene/?term=40348
Acn	Acn	Acinus	35173	0.463278501569165	https://www.ncbi.nlm.nih.gov/gene/?term=35173
Acp29AB	Acp29AB	Accessory gland protein 29AB	34162	-7.49426725137686	https://www.ncbi.nlm.nih.gov/gene/?term=34162
Acp32CD	Acp32CD	Accessory gland protein 32CD	34531	-2.8303357371796	https://www.ncbi.nlm.nih.gov/gene/?term=34531
Acp33A	Acp33A	Accessory gland-specific peptide 33A	3772154	-6.17140835477591	https://www.ncbi.nlm.nih.gov/gene/?term=3772154
Acp36DE	Acp36DE	Accessory gland protein 36DE	35096	-6.88874024658054	https://www.ncbi.nlm.nih.gov/gene/?term=35096
Acp53C14a	Acp53C14a	Accessory gland protein 53C14a	36872	-3.28065908300535	https://www.ncbi.nlm.nih.gov/gene/?term=36872
Acp63F	Acp63F	Accessory gland protein 63F	38448	-7.66055290659491	https://www.ncbi.nlm.nih.gov/gene/?term=38448
Acp65Aa	Acp65Aa	Adult cuticle protein 65Aa	38710	-3.17918239235834	https://www.ncbi.nlm.nih.gov/gene/?term=38710
Acp76A	Acp76A	Accessory gland protein 76A	40078	-5.97327488780829	https://www.ncbi.nlm.nih.gov/gene/?term=40078
Acp95EF	Acp95EF	Accessory gland protein 95EF	47852	-7.27831158500802	https://www.ncbi.nlm.nih.gov/gene/?term=47852
Acph-1	Acph-1	Acid phosphatase 1	48445	0.565029622221118	https://www.ncbi.nlm.nih.gov/gene/?term=48445
Act42A	Act42A	Actin 42A	35526	0.338940713738128	https://www.ncbi.nlm.nih.gov/gene/?term=35526
Act5C	Act5C	Actin 5C	31521	0.452153131865647	https://www.ncbi.nlm.nih.gov/gene/?term=31521
Actbeta	Actbeta	Activin-beta	43826	-2.07820555814382	https://www.ncbi.nlm.nih.gov/gene/?term=43826
Actn3	Actn3	alpha actinin 3	44964	-9.06978046192194	https://www.ncbi.nlm.nih.gov/gene/?term=44964
Acyp	Acyp	Acylphosphatase	34807	-6.78125713755088	https://www.ncbi.nlm.nih.gov/gene/?term=34807
AdSS	AdSS	Adenylosuccinate Synthetase	42466	0.982376370101467	https://www.ncbi.nlm.nih.gov/gene/?term=42466
Ada2b	Ada2b	transcriptional Adaptor 2b	40966	0.93865172696494	https://www.ncbi.nlm.nih.gov/gene/?term=40966
AdamTS-A	AdamTS-A	ADAM metallopeptidase with thrombospondin type 1 motif A	41887	-1.17222781754704	https://www.ncbi.nlm.nih.gov/gene/?term=41887
Adar	Adar	Adenosine deaminase acting on RNA	31130	-0.655621629886798	https://www.ncbi.nlm.nih.gov/gene/?term=31130
Adf1	Adf1	Adh transcription factor 1	47082	0.734864707368793	https://www.ncbi.nlm.nih.gov/gene/?term=47082
Adgf-A	Adgf-A	Adenosine deaminase-related growth factor A	39976	-0.728661626559473	https://www.ncbi.nlm.nih.gov/gene/?term=39976
Adgf-B	Adgf-B	Adenosine deaminase-related growth factor B	39975	-4.64787286457928	https://www.ncbi.nlm.nih.gov/gene/?term=39975
Adgf-C	Adgf-C	Adenosine deaminase-related growth factor C	41680	-3.18199478833882	https://www.ncbi.nlm.nih.gov/gene/?term=41680
Adgf-E	Adgf-E	Adenosine deaminase-related growth factor E	36627	-8.750380082418	https://www.ncbi.nlm.nih.gov/gene/?term=36627
Adh	Adh	Alcohol dehydrogenase	3771877	-2.20085757019838	https://www.ncbi.nlm.nih.gov/gene/?term=3771877
Adk2	Adk2	Adenylate kinase 2	37834	0.588038350124653	https://www.ncbi.nlm.nih.gov/gene/?term=37834
AdoR	AdoR	Adenosine receptor	43583	-2.88690306509263	https://www.ncbi.nlm.nih.gov/gene/?term=43583
Aef1	Aef1	Adult enhancer factor 1	40370	0.854612517316193	https://www.ncbi.nlm.nih.gov/gene/?term=40370
Afti	Afti	Aftiphilin	41744	0.545315330335794	https://www.ncbi.nlm.nih.gov/gene/?term=41744
Akap200	Akap200	A kinase anchor protein 200	34170	0.536648624687931	https://www.ncbi.nlm.nih.gov/gene/?term=34170
Akt1	Akt1	Akt1	41957	0.465560331404788	https://www.ncbi.nlm.nih.gov/gene/?term=41957
Alh	Alh	Alhambra	40850	0.527004816450631	https://www.ncbi.nlm.nih.gov/gene/?term=40850
Alk	Alk	Anaplastic lymphoma kinase	53425	-0.705361693576634	https://www.ncbi.nlm.nih.gov/gene/?term=53425
Ama	Ama	Amalgam	40831	-4.13124482366823	https://www.ncbi.nlm.nih.gov/gene/?term=40831
Amnionless	Amnionless	amnionless	33199	-2.39662421718801	https://www.ncbi.nlm.nih.gov/gene/?term=33199
Amun	Amun	amun	32123	0.741273096616379	https://www.ncbi.nlm.nih.gov/gene/?term=32123
Amyrel	Amyrel	amyrel	36863	-3.84358686716864	https://www.ncbi.nlm.nih.gov/gene/?term=36863
Ance-2	Ance-2	Ance-2	34806	-2.94809034786382	https://www.ncbi.nlm.nih.gov/gene/?term=34806
Ance-3	Ance-3	Ance-3	34808	-1.93460623819214	https://www.ncbi.nlm.nih.gov/gene/?term=34808
Andorra	Andorra	andorra	32798	-8.01584733476814	https://www.ncbi.nlm.nih.gov/gene/?term=32798
Ank	Ank	Ankyrin	43770	0.670909544541207	https://www.ncbi.nlm.nih.gov/gene/?term=43770
Ank2	Ank2	Ankyrin 2	38863	-0.608373687655994	https://www.ncbi.nlm.nih.gov/gene/?term=38863
Anp	Anp	Andropin	43595	-7.14122444844287	https://www.ncbi.nlm.nih.gov/gene/?term=43595
Ant2	Ant2	Adenine nucleotide translocase 2	32008	-2.3022455788731	https://www.ncbi.nlm.nih.gov/gene/?term=32008
Antp	Antp	Antennapedia	40835	-1.40181049088175	https://www.ncbi.nlm.nih.gov/gene/?term=40835
AnxB9	AnxB9	Annexin B9	42492	0.409150023550695	https://www.ncbi.nlm.nih.gov/gene/?term=42492
Aos1	Aos1	Activator of SUMO 1	41532	0.752432088172629	https://www.ncbi.nlm.nih.gov/gene/?term=41532
Apc	Apc	APC-like	44642	0.457542257192939	https://www.ncbi.nlm.nih.gov/gene/?term=44642
Apc2	Apc2	Adenomatous polyposis coli 2	42871	0.820884901163382	https://www.ncbi.nlm.nih.gov/gene/?term=42871
Aplip1	Aplip1	APP-like protein interacting protein 1	53472	-1.89953743033119	https://www.ncbi.nlm.nih.gov/gene/?term=53472
Aps	Aps	Aps	39226	0.642465852719122	https://www.ncbi.nlm.nih.gov/gene/?term=39226
Arc1	Arc1	Activity-regulated cytoskeleton associated protein 1	36595	0.69028156718434	https://www.ncbi.nlm.nih.gov/gene/?term=36595
Arc42	Arc42	Arc42	42364	0.521939722200521	https://www.ncbi.nlm.nih.gov/gene/?term=42364
Arf51F	Arf51F	ADP ribosylation factor at 51F	36699	0.363992499641064	https://www.ncbi.nlm.nih.gov/gene/?term=36699
Arf79F	Arf79F	ADP ribosylation factor at 79F	40506	0.447954889287009	https://www.ncbi.nlm.nih.gov/gene/?term=40506
ArfGAP1	ArfGAP1	ADP-ribosylation factor GTPase activating protein 1	39417	0.6244771259031	https://www.ncbi.nlm.nih.gov/gene/?term=39417
Arfip	Arfip	Arfaptin	41353	0.504163619644127	https://www.ncbi.nlm.nih.gov/gene/?term=41353
Arp53D	Arp53D	Actin-related protein 53D	36879	-9.10907576701224	https://www.ncbi.nlm.nih.gov/gene/?term=36879
Arpc1	Arpc1	Actin-related protein 2/3 complex, subunit 1	34793	0.418060340613618	https://www.ncbi.nlm.nih.gov/gene/?term=34793
Arpc2	Arpc2	Actin-related protein 2/3 complex, subunit 2	35311	0.717503257359419	https://www.ncbi.nlm.nih.gov/gene/?term=35311
Ars2	Ars2	Arsenic resistance protein 2	35539	0.777015167200266	https://www.ncbi.nlm.nih.gov/gene/?term=35539
Art1	Art1	Arginine methyltransferase 1	41295	0.670471276844828	https://www.ncbi.nlm.nih.gov/gene/?term=41295
Art2	Art2	Arginine methyltransferase 2	33631	-5.27609924814604	https://www.ncbi.nlm.nih.gov/gene/?term=33631
Art4	Art4	Arginine methyltransferase 4	41219	0.739370839869801	https://www.ncbi.nlm.nih.gov/gene/?term=41219
Art6	Art6	Arginine methyltransferase 6	41699	-5.22838589764765	https://www.ncbi.nlm.nih.gov/gene/?term=41699
Art9	Art9	Arginine methyltransferase 9	41698	-8.13809369207547	https://www.ncbi.nlm.nih.gov/gene/?term=41698
Asator	Asator	asator	43794	-0.624284181913051	https://www.ncbi.nlm.nih.gov/gene/?term=43794
AstA	AstA	Allatostatin A	42947	-0.986137730434605	https://www.ncbi.nlm.nih.gov/gene/?term=42947
AstA-R1	AstA-R1	Allatostatin A receptor 1	44126	-3.9366501900964	https://www.ncbi.nlm.nih.gov/gene/?term=44126
AstA-R2	AstA-R2	Allatostatin A receptor 2	43393	-1.90214535936814	https://www.ncbi.nlm.nih.gov/gene/?term=43393
AstC-R1	AstC-R1	Allatostatin C receptor 1	40020	-2.99088118486077	https://www.ncbi.nlm.nih.gov/gene/?term=40020
AstC-R2	AstC-R2	Allatostatin C receptor 2	40019	-2.85634625536152	https://www.ncbi.nlm.nih.gov/gene/?term=40019
AstCC	AstCC	Allatostatin double C	34538	-8.34380554854033	https://www.ncbi.nlm.nih.gov/gene/?term=34538
Asx	Asx	Additional sex combs	36612	0.692190496863443	https://www.ncbi.nlm.nih.gov/gene/?term=36612
Atet	Atet	ABC transporter expressed in trachea	33636	-0.489689159381071	https://www.ncbi.nlm.nih.gov/gene/?term=33636
Atg1	Atg1	Autophagy-related 1	39454	0.502068883838485	https://www.ncbi.nlm.nih.gov/gene/?term=39454
Atg10	Atg10	Autophagy-related 10	50253	-2.71274162622292	https://www.ncbi.nlm.nih.gov/gene/?term=50253
Atg13	Atg13	Autophagy-related 13	40998	0.674917559660976	https://www.ncbi.nlm.nih.gov/gene/?term=40998
Atg17	Atg17	Autophagy-related 17	40700	0.468138911210048	https://www.ncbi.nlm.nih.gov/gene/?term=40700
Atg3	Atg3	Autophagy-related 3	40044	0.537704596165128	https://www.ncbi.nlm.nih.gov/gene/?term=40044
Atg8b	Atg8b	Autophagy-related 8b	42132	-4.19073171827275	https://www.ncbi.nlm.nih.gov/gene/?term=42132
Atx2	Atx2	Ataxin-2	41883	0.485692316104772	https://www.ncbi.nlm.nih.gov/gene/?term=41883
Awh	Awh	Arrowhead	38451	-2.27818951215251	https://www.ncbi.nlm.nih.gov/gene/?term=38451
Axn	Axn	Axin	43565	0.610734648774053	https://www.ncbi.nlm.nih.gov/gene/?term=43565
Axud1	Axud1	AXIN1 up-regulated 1	33419	0.765774411750558	https://www.ncbi.nlm.nih.gov/gene/?term=33419
B-H1	B-H1	BarH1	32724	-2.25931988165615	https://www.ncbi.nlm.nih.gov/gene/?term=32724
B-H2	B-H2	BarH2	32723	-2.35789191305863	https://www.ncbi.nlm.nih.gov/gene/?term=32723
B4	B4	B4	34767	0.455708937034271	https://www.ncbi.nlm.nih.gov/gene/?term=34767
B52	B52	B52	41670	0.472618545280676	https://www.ncbi.nlm.nih.gov/gene/?term=41670
BBS1	BBS1	Bardet-Biedl syndrome 1	38780	-6.73610029899247	https://www.ncbi.nlm.nih.gov/gene/?term=38780
BBS4	BBS4	Bardet-Biedl syndrome 4	36167	-5.20554968142615	https://www.ncbi.nlm.nih.gov/gene/?term=36167
BBS8	BBS8	Bardet-Biedl syndrome 8	33217	-5.21150436103844	https://www.ncbi.nlm.nih.gov/gene/?term=33217
BCL7-like	BCL7-like	BCL7-like	31890	0.507829224650031	https://www.ncbi.nlm.nih.gov/gene/?term=31890
BEAF-32	BEAF-32	Boundary element-associated factor of 32kD	36645	0.703182544473646	https://www.ncbi.nlm.nih.gov/gene/?term=36645
BG642163	BG642163	BG642163	4379888	-5.37014560140329	https://www.ncbi.nlm.nih.gov/gene/?term=4379888
BG642167	BG642167	BG642167	4379865	-7.39572953386681	https://www.ncbi.nlm.nih.gov/gene/?term=4379865
BG642312	BG642312	BG642312	4379909	-3.0285836584311	https://www.ncbi.nlm.nih.gov/gene/?term=4379909
BI-1	BI-1	Bax Inhibitor-1	38936	0.793898388019294	https://www.ncbi.nlm.nih.gov/gene/?term=38936
BRWD3	BRWD3	BRWD3	42898	0.885198535285821	https://www.ncbi.nlm.nih.gov/gene/?term=42898
BTBD9	BTBD9	BTB (POZ) domain containing 9	32000	0.697929664628945	https://www.ncbi.nlm.nih.gov/gene/?term=32000
Bap170	Bap170	Brahma associated protein 170kD	35560	0.941671540986858	https://www.ncbi.nlm.nih.gov/gene/?term=35560
Bap55	Bap55	Brahma associated protein 55kD	36956	0.741728544516517	https://www.ncbi.nlm.nih.gov/gene/?term=36956
Bap60	Bap60	Brahma associated protein 60kD	32268	0.799921838517318	https://www.ncbi.nlm.nih.gov/gene/?term=32268
Best3	Best3	Bestrophin 3	39661	-5.57138828364836	https://www.ncbi.nlm.nih.gov/gene/?term=39661
Best4	Best4	Bestrophin 4	39660	-6.67666637381394	https://www.ncbi.nlm.nih.gov/gene/?term=39660
Bgb	Bgb	Big brother	38198	0.873672354280319	https://www.ncbi.nlm.nih.gov/gene/?term=38198
BicD	BicD	Bicaudal D	35051	0.603759535589301	https://www.ncbi.nlm.nih.gov/gene/?term=35051
BigH1	BigH1	Histone H1 variant BigH1	41780	0.633573692611428	https://www.ncbi.nlm.nih.gov/gene/?term=41780
Bili	Bili	Band4.1 inhibitor LRP interactor	43019	-2.33194061511847	https://www.ncbi.nlm.nih.gov/gene/?term=43019
Bin1	Bin1	Bicoid interacting protein 1	41965	0.548455591574435	https://www.ncbi.nlm.nih.gov/gene/?term=41965
Blm	Blm	Bloom syndrome helicase	41366	0.689388650723059	https://www.ncbi.nlm.nih.gov/gene/?term=41366
BobA	BobA	Brother of Bearded A	50281	-6.98042559744903	https://www.ncbi.nlm.nih.gov/gene/?term=50281
Br140	Br140	Bromodomain-containing protein, 140kD	35648	0.779295957392504	https://www.ncbi.nlm.nih.gov/gene/?term=35648
Bre1	Bre1	Bre1	38652	0.788637853702089	https://www.ncbi.nlm.nih.gov/gene/?term=38652
Brms1	Brms1	BRMS1	32243	0.76400122761261	https://www.ncbi.nlm.nih.gov/gene/?term=32243
Bruce	Bruce	BIR repeat containing ubiquitin-conjugating enzyme	41260	0.368142201727841	https://www.ncbi.nlm.nih.gov/gene/?term=41260
Bsg25A	Bsg25A	Blastoderm-specific gene 25A	33669	-8.75374051801628	https://www.ncbi.nlm.nih.gov/gene/?term=33669
Bsg25D	Bsg25D	Blastoderm-specific gene 25D	33757	0.614158104357756	https://www.ncbi.nlm.nih.gov/gene/?term=33757
BtbVII	BtbVII	BTB-protein-VII	38376	0.802513276504528	https://www.ncbi.nlm.nih.gov/gene/?term=38376
Btk29A	Btk29A	Btk family kinase at 29A	34132	0.594805512501183	https://www.ncbi.nlm.nih.gov/gene/?term=34132
Bub1	Bub1	Bub1 kinase	33758	0.729339181781223	https://www.ncbi.nlm.nih.gov/gene/?term=33758
Bub3	Bub3	Bub3	43490	0.782576041206137	https://www.ncbi.nlm.nih.gov/gene/?term=43490
BubR1	BubR1	Bub1-related kinase	35522	0.760595024362584	https://www.ncbi.nlm.nih.gov/gene/?term=35522
Burs	Burs	Bursicon	42560	-4.72415865389872	https://www.ncbi.nlm.nih.gov/gene/?term=42560
Bx42	Bx42	Bx42	31840	0.507964986740342	https://www.ncbi.nlm.nih.gov/gene/?term=31840
C15	C15	C15	42544	-4.08980707711007	https://www.ncbi.nlm.nih.gov/gene/?term=42544
C901	C901	C901	32032	-4.96512820673631	https://www.ncbi.nlm.nih.gov/gene/?term=32032
CASK	CASK	CASK	42567	0.515421329282543	https://www.ncbi.nlm.nih.gov/gene/?term=42567
CBP	CBP	sarcoplasmic calcium-binding protein	31669	0.88155425576625	https://www.ncbi.nlm.nih.gov/gene/?term=31669
CCAP	CCAP	Crustacean cardioactive peptide	42683	-4.54711112749003	https://www.ncbi.nlm.nih.gov/gene/?term=42683
CCAP-R	CCAP-R	Crustacean cardioactive peptide receptor	2768688	-3.61430909424681	https://www.ncbi.nlm.nih.gov/gene/?term=2768688
CCDC151	CCDC151	Coiled-coil domain containing protein 151	39345	-6.09537721156996	https://www.ncbi.nlm.nih.gov/gene/?term=39345
CCHa1-R	CCHa1-R	CCHamide-1 receptor	37004	-3.9002694073390902	https://www.ncbi.nlm.nih.gov/gene/?term=37004
CCHa2-R	CCHa2-R	CCHamide-2 receptor	35535	-5.13519021182938	https://www.ncbi.nlm.nih.gov/gene/?term=35535
CCKLR-17D1	CCKLR-17D1	Cholecystokinin-like receptor at 17D1	32860	-4.72197447577674	https://www.ncbi.nlm.nih.gov/gene/?term=32860
CCKLR-17D3	CCKLR-17D3	Cholecystokinin-like receptor at 17D3	32864	-3.68191737343392	https://www.ncbi.nlm.nih.gov/gene/?term=32864
CD98hc	CD98hc	CD98 heavy chain	40941	0.461344260346162	https://www.ncbi.nlm.nih.gov/gene/?term=40941
CDC45L	CDC45L	CDC45L	31052	0.781237381698147	https://www.ncbi.nlm.nih.gov/gene/?term=31052
CDase	CDase	Ceramidase	43618	-1.30087022221322	https://www.ncbi.nlm.nih.gov/gene/?term=43618
CG10000	CG10000	NA	43394	-3.27966209229661	https://www.ncbi.nlm.nih.gov/gene/?term=43394
CG10013	CG10013	NA	41494	-3.20365408428592	https://www.ncbi.nlm.nih.gov/gene/?term=41494
CG10014	CG10014	NA	41481	-5.63056586704134	https://www.ncbi.nlm.nih.gov/gene/?term=41481
CG10019	CG10019	NA	33600	-1.90290208037022	https://www.ncbi.nlm.nih.gov/gene/?term=33600
CG10026	CG10026	NA	35226	-1.19085724286821	https://www.ncbi.nlm.nih.gov/gene/?term=35226
CG10029	CG10029	NA	40883	-6.17978578720609	https://www.ncbi.nlm.nih.gov/gene/?term=40883
CG10041	CG10041	NA	41496	-3.94583333023154	https://www.ncbi.nlm.nih.gov/gene/?term=41496
CG10051	CG10051	NA	37222	-2.34913301060957	https://www.ncbi.nlm.nih.gov/gene/?term=37222
CG10055	CG10055	NA	40862	0.605517055648677	https://www.ncbi.nlm.nih.gov/gene/?term=40862
CG10062	CG10062	NA	37224	-2.55148696598463	https://www.ncbi.nlm.nih.gov/gene/?term=37224
CG10063	CG10063	NA	38764	-4.25429359522904	https://www.ncbi.nlm.nih.gov/gene/?term=38764
CG10064	CG10064	NA	38761	-4.29224903339328	https://www.ncbi.nlm.nih.gov/gene/?term=38761
CG10073	CG10073	NA	37225	-5.56623551628679	https://www.ncbi.nlm.nih.gov/gene/?term=37225
CG10077	CG10077	NA	38756	1.39834903622398	https://www.ncbi.nlm.nih.gov/gene/?term=38756
CG10081	CG10081	NA	37226	-6.5169259105523	https://www.ncbi.nlm.nih.gov/gene/?term=37226
CG10082	CG10082	NA	37465	0.752219977685203	https://www.ncbi.nlm.nih.gov/gene/?term=37465
CG10089	CG10089	NA	39517	-1.52870035914903	https://www.ncbi.nlm.nih.gov/gene/?term=39517
CG10103	CG10103	NA	38750	0.419487009201452	https://www.ncbi.nlm.nih.gov/gene/?term=38750
CG10131	CG10131	NA	36624	-1.60783910520297	https://www.ncbi.nlm.nih.gov/gene/?term=36624
CG10132	CG10132	NA	35239	-1.60903866214212	https://www.ncbi.nlm.nih.gov/gene/?term=35239
CG10137	CG10137	NA	35241	-2.48898308924665	https://www.ncbi.nlm.nih.gov/gene/?term=35241
CG10140	CG10140	NA	39511	-6.19915851897346	https://www.ncbi.nlm.nih.gov/gene/?term=39511
CG10151	CG10151	NA	36639	-3.62549771717696	https://www.ncbi.nlm.nih.gov/gene/?term=36639
CG10154	CG10154	NA	39509	-7.48348807130121	https://www.ncbi.nlm.nih.gov/gene/?term=39509
CG10164	CG10164	NA	42777	-4.54225738080768	https://www.ncbi.nlm.nih.gov/gene/?term=42777
CG10168	CG10168	NA	42776	-3.02274296230955	https://www.ncbi.nlm.nih.gov/gene/?term=42776
CG10170	CG10170	NA	42774	-0.992887051351023	https://www.ncbi.nlm.nih.gov/gene/?term=42774
CG10175	CG10175	NA	42773	-1.54176841452486	https://www.ncbi.nlm.nih.gov/gene/?term=42773
CG10177	CG10177	NA	42772	-7.2336756623919	https://www.ncbi.nlm.nih.gov/gene/?term=42772
CG10182	CG10182	NA	42780	-1.69396084481703	https://www.ncbi.nlm.nih.gov/gene/?term=42780
CG10183	CG10183	NA	42782	-8.33077139613932	https://www.ncbi.nlm.nih.gov/gene/?term=42782
CG10185	CG10185	NA	41953	-3.24450025549355	https://www.ncbi.nlm.nih.gov/gene/?term=41953
CG10188	CG10188	NA	35237	0.752132443625115	https://www.ncbi.nlm.nih.gov/gene/?term=35237
CG10189	CG10189	NA	35234	-1.00067574071501	https://www.ncbi.nlm.nih.gov/gene/?term=35234
CG10195	CG10195	NA	35228	-1.40172645959914	https://www.ncbi.nlm.nih.gov/gene/?term=35228
CG10202	CG10202	NA	36649	-6.44837460563951	https://www.ncbi.nlm.nih.gov/gene/?term=36649
CG10208	CG10208	NA	42814	-1.17394049095971	https://www.ncbi.nlm.nih.gov/gene/?term=42814
CG10211	CG10211	NA	35106	-1.71981411998959	https://www.ncbi.nlm.nih.gov/gene/?term=35106
CG10217	CG10217	NA	42809	0.498879498196608	https://www.ncbi.nlm.nih.gov/gene/?term=42809
CG10226	CG10226	NA	38725	-2.10269796405557	https://www.ncbi.nlm.nih.gov/gene/?term=38725
CG10232	CG10232	NA	42800	-3.7873833867071	https://www.ncbi.nlm.nih.gov/gene/?term=42800
CG10252	CG10252	NA	42794	-5.77573785512404	https://www.ncbi.nlm.nih.gov/gene/?term=42794
CG10254	CG10254	NA	42793	0.716798528284259	https://www.ncbi.nlm.nih.gov/gene/?term=42793
CG10257	CG10257	NA	36671	-4.64940393370936	https://www.ncbi.nlm.nih.gov/gene/?term=36671
CG10264	CG10264	NA	41948	-3.62777554877887	https://www.ncbi.nlm.nih.gov/gene/?term=41948
CG10265	CG10265	NA	36676	0.917671207820127	https://www.ncbi.nlm.nih.gov/gene/?term=36676
CG10280	CG10280	NA	40740	-9.19698883306764	https://www.ncbi.nlm.nih.gov/gene/?term=40740
CG10289	CG10289	NA	38714	0.256685875933991	https://www.ncbi.nlm.nih.gov/gene/?term=38714
CG10298	CG10298	NA	40779	-6.77846205974027	https://www.ncbi.nlm.nih.gov/gene/?term=40779
CG10300	CG10300	NA	42798	-2.33093115544314	https://www.ncbi.nlm.nih.gov/gene/?term=42798
CG10301	CG10301	NA	42797	-4.94173114355894	https://www.ncbi.nlm.nih.gov/gene/?term=42797
CG10307	CG10307	NA	37477	-1.31405091530869	https://www.ncbi.nlm.nih.gov/gene/?term=37477
CG10317	CG10317	NA	41987	-5.41600902256131	https://www.ncbi.nlm.nih.gov/gene/?term=41987
CG10321	CG10321	NA	37464	0.901062578413941	https://www.ncbi.nlm.nih.gov/gene/?term=37464
CG10339	CG10339	NA	37854	-3.21642327775862	https://www.ncbi.nlm.nih.gov/gene/?term=37854
CG10345	CG10345	NA	42017	-0.859668874936796	https://www.ncbi.nlm.nih.gov/gene/?term=42017
CG10348	CG10348	NA	35132	-1.76635246572057	https://www.ncbi.nlm.nih.gov/gene/?term=35132
CG10352	CG10352	NA	32147	-4.82946122121499	https://www.ncbi.nlm.nih.gov/gene/?term=32147
CG10357	CG10357	NA	38435	-2.54141842973567	https://www.ncbi.nlm.nih.gov/gene/?term=38435
CG10359	CG10359	NA	38434	-1.44577032542957	https://www.ncbi.nlm.nih.gov/gene/?term=38434
CG10362	CG10362	NA	32157	-3.73471308077836	https://www.ncbi.nlm.nih.gov/gene/?term=32157
CG10376	CG10376	NA	35126	0.498714636344695	https://www.ncbi.nlm.nih.gov/gene/?term=35126
CG10384	CG10384	NA	37567	-1.70621156597205	https://www.ncbi.nlm.nih.gov/gene/?term=37567
CG10405	CG10405	NA	41996	-3.43010469884001	https://www.ncbi.nlm.nih.gov/gene/?term=41996
